Tue Feb 28 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Sat Aug 3 04:00:00 +0000 2013, 4445295, 1018020, 2480444, 437259, 142295, 561332
Wed Sep 4 04:00:00 +0000 2013, 4455981, 1026702, 2471830, 580687, 274226, 536848
Sun Mar 4 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Thu Aug 8 04:00:00 +0000 2013, 4644198, 1048255, 2635777, 480976, 138130, 563297
Fri Nov 7 05:00:00 +0000 2014, 4272345, 1546155, 2509506, 990844, 776610, 1048440
Sun Oct 6 04:00:00 +0000 2013, 4681961, 1119848, 2607547, 540294, 322835, 593811
Mon Feb 6 05:00:00 +0000 2012, 2, 0, 0, 0, 0, 1
Tue May 8 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Sep 9 04:00:00 +0000 2013, 4451795, 1046699, 2425561, 607659, 272088, 527479
Fri Mar 9 05:00:00 +0000 2012, 1, 0, 1, 1, 0, 1
Tue Aug 13 04:00:00 +0000 2013, 4831642, 1131257, 2789977, 500446, 177498, 590630
Fri Oct 11 04:00:00 +0000 2013, 4213052, 980733, 2311653, 557848, 268723, 541592
Wed Nov 12 05:00:00 +0000 2014, 4172223, 1491562, 2474804, 982884, 751071, 761870
Sat Feb 11 05:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Sat Sep 14 04:00:00 +0000 2013, 4567666, 1046508, 2496982, 565435, 313785, 546138
Thu Jun 14 04:00:00 +0000 2012, 2, 0, 1, 0, 0, 1
Mon Nov 17 05:00:00 +0000 2014, 4318653, 1550051, 2558509, 999366, 810031, 834956
Wed Oct 16 04:00:00 +0000 2013, 4341876, 1007570, 2397847, 602229, 273921, 526125
Fri May 18 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 1
Thu Sep 19 04:00:00 +0000 2013, 4210121, 936516, 2279789, 572567, 250872, 517878
Tue Jun 19 04:00:00 +0000 2012, 3, 0, 0, 0, 0, 1
Sat Nov 22 05:00:00 +0000 2014, 4252712, 1531052, 2493191, 964585, 832027, 798734
Mon Oct 21 04:00:00 +0000 2013, 4430563, 1056740, 2435873, 625463, 281032, 553691
Wed May 23 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Tue Sep 24 04:00:00 +0000 2013, 4236762, 987810, 2317795, 574451, 257193, 516249
Sun Jun 24 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Thu Nov 27 05:00:00 +0000 2014, 4175089, 1489857, 2429876, 1000697, 809864, 736012
Sat Oct 26 04:00:00 +0000 2013, 4336861, 1013128, 2356280, 568970, 298565, 571420
Sun Sep 29 04:00:00 +0000 2013, 4635691, 1109813, 2557230, 539758, 306992, 582429
Mon Dec 29 05:00:00 +0000 2014, 4549887, 1635925, 2737977, 1010174, 852605, 668405
Thu Oct 31 04:00:00 +0000 2013, 4131374, 994266, 2218732, 642968, 324487, 550045
Tue Dec 2 05:00:00 +0000 2014, 4255931, 1523306, 2507299, 1068463, 813798, 751191
Wed Mar 30 04:00:00 +0000 2011, 1, 0, 0, 0, 0, 0
Wed Nov 5 05:00:00 +0000 2014, 4290289, 1541927, 2524880, 969915, 774830, 930079
Sat Jan 3 05:00:00 +0000 2015, 4433809, 1615544, 2710777, 959814, 838068, 710479
Sun Apr 5 04:00:00 +0000 2015, 4925671, 1959644, 3135381, 1124503, 1174184, 1029527
Sun Dec 7 05:00:00 +0000 2014, 4506144, 1673202, 2693164, 1005405, 909696, 798335
Mon Mar 9 04:00:00 +0000 2015, 4621402, 1841014, 2843411, 1296128, 1157640, 759870
Thu Jan 8 05:00:00 +0000 2015, 4345064, 1623723, 2619987, 1030437, 857838, 690929
Fri Apr 10 04:00:00 +0000 2015, 4096133, 1477941, 2414243, 1058041, 867868, 703607
Fri Dec 12 05:00:00 +0000 2014, 4127930, 1452798, 2401757, 1009782, 783617, 739599
Sat Mar 14 04:00:00 +0000 2015, 4331155, 1579222, 2549466, 1005778, 947637, 781235
Tue Jan 13 05:00:00 +0000 2015, 4303271, 1647847, 2647440, 1114771, 909046, 705914
Wed Apr 15 04:00:00 +0000 2015, 4156141, 1512671, 2442628, 1083081, 854260, 676870
Wed Dec 17 05:00:00 +0000 2014, 4203008, 1506209, 2485521, 1037128, 807581, 677304
Sat Feb 14 05:00:00 +0000 2015, 4351463, 1631309, 2602387, 1103205, 1011838, 709430
Thu Mar 19 04:00:00 +0000 2015, 4483078, 1616547, 2605663, 1142363, 947582, 804992
Wed Aug 15 04:00:00 +0000 2012, 2, 0, 0, 0, 0, 0
Sun Jan 18 05:00:00 +0000 2015, 4643138, 1811722, 2864596, 1090067, 1018161, 748503
Mon Apr 20 04:00:00 +0000 2015, 4184319, 1548929, 2499149, 1110515, 875334, 688716
Sun Sep 16 04:00:00 +0000 2012, 1, 0, 0, 0, 0, 0
Mon Dec 22 05:00:00 +0000 2014, 4363662, 1583114, 2604637, 1037512, 849759, 668767
Thu Feb 19 05:00:00 +0000 2015, 4606857, 1834470, 2837009, 1292952, 1111358, 712000
Tue Mar 24 04:00:00 +0000 2015, 4475632, 1677418, 2691730, 1142431, 1007401, 831959
Fri Jan 23 05:00:00 +0000 2015, 4323000, 1643390, 2605372, 1104711, 960373, 735467
Sat Apr 25 04:00:00 +0000 2015, 4182955, 1607987, 2507198, 1113223, 984844, 698859
